"sub","hit","miss","fa","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"AB2 ",313,1,21,2475,2810,0.996815286624204,0.00841346153846154,2.72813120769123,-2.39046783331687,5.1185990410081,1,1,1,1,1,1,1,0.9375,54,52,48,43,38,33,30,15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3.92458837766942,TRUE,TRUE
"ajs23 ",312,2,37,2459,2810,0.993630573248408,0.0148237179487179,2.49098768535023,-2.17476893794502,4.66575662329525,1,1,1,1,1,1,1,0.875,54,52,48,43,38,33,30,14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3.32511831832103,TRUE,TRUE
"ALA2 ",309,5,70,2426,2810,0.984076433121019,0.0280448717948718,2.14632405453188,-1.91033772390409,4.05666177843597,1,0.980769230769231,0.979166666666667,1,0.973684210526316,1,0.966666666666667,0.9375,54,51,47,43,37,33,29,15,Inf,3.98023955479914,3.94717185560548,Inf,3.84826923475692,Inf,3.74425235972001,3.44445826825664,TRUE,TRUE
"AMS84 ",312,2,29,2467,2810,0.993630573248408,0.0116185897435897,2.49098768535023,-2.26951247469451,4.76050016004474,1,1,1,1,1,1,0.966666666666667,0.9375,54,52,48,43,38,33,29,15,Inf,Inf,Inf,Inf,Inf,Inf,4.10342711051042,3.80363301904705,TRUE,TRUE
"bb13 ",314,0,35,2461,2810,1,0.0140224358974359,Inf,-2.19665812282937,Inf,1,1,1,1,1,1,1,1,54,52,48,43,38,33,30,16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,TRUE,TRUE
"bhs1 ",295,19,74,2422,2810,0.939490445859873,0.0296474358974359,1.55051019563139,-1.88600061491678,3.43651081054817,0.962962962962963,0.961538461538462,0.958333333333333,0.953488372093023,0.921052631578947,0.909090909090909,0.933333333333333,0.8125,52,50,46,41,35,30,28,13,3.67215617617786,3.65482565343549,3.61766501103902,3.56566180023259,3.29818819382294,3.22117835103572,3.3870865609608,2.77314717393566,TRUE,TRUE
"LK88 ",311,3,16,2480,2810,0.990445859872611,0.00641025641025641,2.34341178688269,-2.48871656629386,4.83212835317655,1,1,1,1,0.947368421052632,0.96969696969697,1,1,54,52,48,43,36,32,30,16,Inf,Inf,Inf,Inf,4.10857282493213,4.36507512818845,Inf,Inf,TRUE,TRUE
"MFE24 ",296,18,10,2486,2810,0.942675159235669,0.00400641025641026,1.57763415307392,-2.6515291115128,4.22916326458672,1,1,0.895833333333333,0.976744186046512,0.921052631578947,0.848484848484849,0.933333333333333,0.875,54,52,43,42,35,28,28,14,Inf,Inf,3.9096906725759,4.64224957309484,4.06371669041897,3.68148587373817,4.15261505755683,3.80187849188881,TRUE,TRUE
"NL24 ",305,9,31,2465,2810,0.971337579617834,0.0124198717948718,1.90082574485089,-2.24388589990004,4.14471164475093,1,0.980769230769231,1,0.976744186046512,1,1,0.8,0.9375,54,51,48,42,38,33,24,15,Inf,4.31378773079509,Inf,4.23460636148207,Inf,Inf,3.08550713347296,3.77800644425259,TRUE,TRUE
"RG479 ",311,3,31,2465,2810,0.990445859872611,0.0124198717948718,2.34341178688269,-2.24388589990004,4.58729768678273,1,1,1,0.976744186046512,1,1,0.966666666666667,0.9375,54,52,48,42,38,33,29,15,Inf,Inf,Inf,4.23460636148207,Inf,Inf,4.07780053571596,3.77800644425259,TRUE,TRUE
"RMM99 ",314,0,16,2480,2810,1,0.00641025641025641,Inf,-2.48871656629386,Inf,1,1,1,1,1,1,1,1,54,52,48,43,38,33,30,16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,TRUE,TRUE
"tdi3 ",313,1,23,2473,2810,0.996815286624204,0.00921474358974359,2.72813120769123,-2.35687423700325,5.08500544469448,1,1,1,1,1,0.96969696969697,1,1,54,52,48,43,38,32,30,16,Inf,Inf,Inf,Inf,Inf,4.23323279889785,Inf,Inf,TRUE,TRUE
"TWT74 ",311,3,75,2421,2810,0.990445859872611,0.0300480769230769,2.34341178688269,-1.88008749950817,4.22349928639086,0.981481481481482,1,1,1,1,1,0.966666666666667,0.9375,53,52,48,43,38,33,29,15,3.96544306554,Inf,Inf,Inf,Inf,Inf,3.71400213532408,3.41420804386072,TRUE,TRUE
"TYC29 ",300,14,24,2472,2810,0.955414012738854,0.00961538461538462,1.69978180863603,-2.34102713763045,4.04080894626648,1,1,0.958333333333333,1,0.947368421052632,0.909090909090909,0.866666666666667,0.8125,54,52,46,43,36,30,26,13,Inf,Inf,4.07269153375269,Inf,3.96088339626872,3.67620487374938,3.45179875426723,3.22817369664932,TRUE,TRUE
