"sub","hit","miss","fa","nr","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts5_0225D_06_01",334,70,30,0,879,1313,0.826732673267327,0.033003300330033,0.941332186301316,-1.83837884180138,2.7797110281027,0.8125,0.942307692307692,0.924731182795699,0.625,0.884210526315789,0.55,0.578947368421053,0.176470588235294,26,98,86,15,84,11,11,3,2.72552540082025,3.41282380701842,3.27601387814647,2.15701820576575,3.03468028094826,1.96404018865645,2.03758016659065,0.909479350154108,FALSE,FALSE
"lts5_0225D_07_01",325,79,18,28,864,1314,0.804455445544555,0.0197802197802198,0.857643931492042,-2.05830942983752,2.91595336132956,0.9,0.9375,0.872340425531915,0.75,0.805825242718447,0.409090909090909,0.421052631578947,0.5,27,90,82,18,83,9,8,8,3.33986099538212,3.59242997419007,3.19583378531008,2.7327991800336,2.92092382221482,1.82842531225829,1.85910810504825,2.05830942983752,TRUE,TRUE
"lts5_0225D_08_01",367,34,27,6,880,1314,0.915211970074813,0.0295728368017525,1.37356728272647,-1.88710894669093,3.2606762294174,0.733333333333333,0.944444444444444,0.94,0.916666666666667,0.964285714285714,0.80952380952381,0.944444444444444,0.75,22,102,94,22,81,17,17,12,2.51003466990102,3.48032776471398,3.44188254128778,3.27010307379157,3.68985203743012,2.76325179593777,3.48032776471398,2.56159869688701,TRUE,TRUE
"lts5_0225D_10_01",342,60,14,1,897,1314,0.850746268656716,0.0153508771929825,1.03963940428146,-2.16091696214492,3.20055636642637,0.933333333333333,0.955357142857143,0.89247311827957,0.666666666666667,0.909090909090909,0.75,0.473684210526316,0.25,28,107,83,16,80,15,9,4,3.66200290818894,3.86009462225622,3.40070510924375,2.59164426144037,3.49609469826385,2.835406712341,2.09490514976908,1.48642721194884,FALSE,TRUE
"lts5_0226D_09_01",375,26,5,2,906,1314,0.935162094763092,0.00547645125958379,1.5153815362262,-2.54419785173944,4.05957938796563,0.838709677419355,0.961538461538462,0.981651376146789,0.916666666666667,0.987341772151899,0.95,0.666666666666667,0.6875,26,100,107,22,78,19,12,11,3.53336647908007,4.31302289025814,4.63331423738007,3.92719197884007,4.78073730888029,4.18905147869091,2.97492515103489,3.0329742628541,TRUE,TRUE
"lts5_0227D_11_01",394,7,18,0,894,1313,0.982543640897756,0.0197368421052632,2.10936928923561,-2.05921460987167,4.16858389910728,0.966666666666667,0.990566037735849,1,1,1,0.95,0.944444444444444,0.823529411764706,29,105,98,24,88,19,17,14,3.89312924568758,4.40734481060319,Inf,Inf,Inf,3.70406823682314,3.65243342789472,2.98811410151894,TRUE,TRUE
"lts5_0227D_12_01",369,32,30,13,869,1313,0.920199501246883,0.0328947368421053,1.40641476804948,-1.83985537077794,3.24627013882742,0.896551724137931,0.978947368421053,0.99009900990099,0.92,0.917525773195876,0.9,0.722222222222222,0.4375,26,93,100,23,89,18,13,7,3.10200054740075,3.87233362386636,4.16993429356585,3.24492693108757,3.2284749723941,3.12140693632254,2.42931116862772,1.68254468616777,TRUE,TRUE
"lts5_0228D_13_01",339,62,37,2,874,1314,0.845386533665835,0.04052573932092,1.01684550109592,-1.74461746506445,2.76146296616038,0.8,0.96078431372549,0.938775510204082,0.6,0.858695652173913,0.7,0.5,0.5,24,98,92,15,79,14,9,8,2.58623869863737,3.50447849299799,3.28919295062771,1.99796456820025,2.8190950279974,2.26901797777249,1.74461746506445,1.74461746506445,TRUE,TRUE
"lts5_0228D_14_01",298,105,17,11,883,1314,0.739454094292804,0.0186608122941822,0.641663318006229,-2.08222826597677,2.723891583983,0.903225806451613,0.861386138613861,0.86734693877551,0.541666666666667,0.808510638297872,0.3,0.111111111111111,0.0588235294117647,28,87,85,13,76,6,2,1,3.38238169934019,3.16879638096284,3.19616548133346,2.18686172159085,2.95464931169396,1.55782775326873,0.861587917129421,0.517501794614972,FALSE,FALSE
"lts5_0228D_15_01",317,86,14,64,833,1314,0.786600496277916,0.0153677277716795,0.794681137322508,-2.1604809659522,2.95516210327471,0.741935483870968,0.813725490196078,0.852631578947368,0.76,0.84375,0.6,0.5,0.5625,23,83,81,19,81,12,9,9,2.80980487913866,3.05218979562561,3.20826777324446,2.86678352879229,3.17047113520178,2.413828069088,2.1604809659522,2.31779165056237,TRUE,TRUE
